time,rebase_time,rebase_30_ma,rebase,standard_apy,adjusted_apy
2021-11-26 15:12,7.283055555555555,7.215509259259259,0.54244%,373.7790275562098,711.7327669390437
2021-11-26 22:48,7.591944444444445,7.222092592592593,0.54186%,371.4271137760236,702.5549801785933
2021-11-27 05:38,6.842777777777778,7.226490740740741,0.54224%,372.95296345027583,702.940912644371
2021-11-27 12:34,6.9302777777777775,7.217953703703704,0.54267%,374.7238243741708,712.1412710219382
2021-11-27 19:40,7.087777777777778,7.200185185185185,0.54303%,376.1686632613597,726.8798674527436
2021-11-28 02:57,7.295833333333333,7.201768518518518,0.54308%,376.3828070929264,726.2867082542224
2021-11-28 10:06,7.1402777777777775,7.207157407407407,0.5429%,375.6703837479413,721.1995918840274
2021-11-28 17:24,7.304722222222222,7.227555555555556,0.54321%,376.93264532840465,710.5616149749934
2021-11-29 00:18,6.8966666666666665,7.229935185185186,0.54359%,378.48856991549826,712.2668703681916
2021-11-29 08:13,7.919444444444444,7.260509259259259,0.54356%,378.37805317214827,692.6127634473532
2021-11-29 15:36,7.376944444444445,7.248111111111111,0.54389%,379.735355146318,703.1786298035177
2021-11-29 23:20,7.747777777777777,7.2666203703703705,0.5442%,381.0094227197014,694.0890958448763
2021-11-30 06:36,7.258333333333333,7.273148148148148,0.54308%,376.39742125522775,680.8435912089625
2021-11-30 13:40,7.0725,7.268287037037037,0.54151%,370.0291664777282,671.0971543096189
2021-11-30 20:57,7.2725,7.274166666666667,0.54194%,371.7598057521748,671.0103499720267
2021-12-01 03:58,7.0280555555555555,7.272620370370371,0.53977%,363.06410501064937,654.6709014890802
2021-12-01 11:01,7.045555555555556,7.278203703703704,0.53787%,355.6347977794169,636.785610089401
2021-12-01 18:27,7.435555555555555,7.283611111111111,0.53722%,353.1118402867261,628.8042265271444
2021-12-02 02:15,7.796944444444445,7.301944444444445,0.53586%,347.93521130000664,608.7823189595413
2021-12-02 09:47,7.538333333333333,7.282203703703703,0.53578%,347.61628505301815,618.8318820486477
2021-12-02 16:55,7.121666666666667,7.256759259259259,0.53308%,337.55941967762755,612.7806837898744
2021-12-02 23:59,7.065555555555556,7.253953703703703,0.53123%,330.8033674557479,600.7582650319761
2021-12-03 06:55,6.9366666666666665,7.253203703703703,0.5295%,324.6365794452984,588.8072738482632
2021-12-03 14:32,7.623611111111111,7.263481481481482,0.52872%,321.88714031367465,578.0764682249171
2021-12-03 21:41,7.148333333333333,7.269175925925926,0.52683%,315.3534212660359,562.3674356608834
2021-12-04 05:22,7.689166666666667,7.289537037037037,0.52509%,309.42632875834636,541.1222714636734
2021-12-04 12:41,7.311944444444444,7.293064814814815,0.52319%,303.07970940715984,527.3518015248665
2021-12-04 19:50,7.141111111111111,7.292777777777777,0.52114%,296.37726492290784,514.6995296437426
2021-12-05 02:39,6.815833333333333,7.276416666666667,0.51855%,288.1447180038127,506.0575529543761
2021-12-05 09:40,7.023055555555556,7.258074074074074,0.51701%,283.3431531830987,504.6496997964063
2021-12-05 17:24,7.727222222222222,7.27287962962963,0.51537%,278.3412481697123,488.62872679909697
2021-12-06 00:55,7.518055555555556,7.270416666666667,0.5136%,273.0038528657837,479.33298382378877
2021-12-06 08:05,7.1786111111111115,7.281611111111111,0.51201%,268.3179864902077,465.85999400348294
2021-12-06 15:43,7.623611111111111,7.304722222222222,0.51138%,266.48596977833137,453.47650147033863
2021-12-06 22:52,7.150277777777778,7.306805555555556,0.50893%,259.46572856472534,439.64591858134605
2021-12-07 06:13,7.347777777777778,7.308537037037037,0.50648%,252.62534723945103,426.35956719633094
2021-12-07 13:08,6.9225,7.301277777777778,0.50489%,248.29809352520311,420.8904169950771
