time,open,high,low,close,volume
4/21/2021,"$1,061.00","$1,283.00","$1,018.00","$1,110.00",$13.82M
4/20/2021,$880.09,"$1,072.00",$846.61,"$1,072.00",$8.54M
4/19/2021,$831.39,$908.50,$731.88,$884.26,$5.07M
4/18/2021,$888.57,$890.36,$775.97,$826.36,$3.63M
4/17/2021,$874.87,$898.54,$765.70,$888.49,$4.53M
4/16/2021,$782.25,$913.62,$766.84,$870.46,$4.12M
4/15/2021,$864.54,$896.25,$782.32,$786.99,$2.70M
4/14/2021,$852.66,$923.34,$808.71,$864.28,$3.80M
4/13/2021,$842.86,$961.68,$712.66,$854.55,$4.50M
4/12/2021,$853.44,$916.11,$802.70,$842.75,$2.03M
4/11/2021,$863.39,$891.43,$813.79,$852.55,$2.52M
4/10/2021,$798.11,"$1,007.00",$792.89,$881.42,$4.90M
4/9/2021,$731.04,$927.23,$717.96,$797.84,$3.43M
4/8/2021,$685.14,$853.11,$667.89,$728.75,$4.21M
4/7/2021,$625.81,$759.51,$586.94,$682.72,$5.11M
4/6/2021,$475.11,$666.71,$475.06,$633.26,$3.06M
4/5/2021,$509.35,$593.68,$474.61,$477.89,$1.52M
4/4/2021,$697.07,$760.14,$489.52,$504.44,$2.37M
4/3/2021,$480.60,$784.12,$479.17,$708.47,$3.67M
4/2/2021,$419.08,$508.19,$394.95,$474.46,$1.74M
4/1/2021,$380.24,$476.12,$269.39,$418.07,$2.72M
3/31/2021,$509.87,$643.58,$237.45,$374.77,$7.07M
3/30/2021,$850.80,$850.80,$400.80,$504.67,$7.55M
3/29/2021,$915.21,"$1,070.00",$719.00,$846.06,$7.59M
3/28/2021,$981.23,"$1,128.00",$649.26,$926.38,$7.31M
3/27/2021,"$1,061.00","$1,283.00",$714.17,$973.25,$11.91M
3/26/2021,$634.46,"$1,123.00",$634.46,"$1,062.00",$14.14M
3/25/2021,$391.41,$655.35,$345.07,$624.94,$10.44M
3/24/2021,$334.07,$408.55,$288.30,$390.05,$2.74M
3/23/2021,$383.09,$445.12,$327.65,$332.26,$2.97M
3/22/2021,$46.78,$616.43,$46.78,$386.86,$17.49M
