time,open,high,low,close,volume
8/7/2020,"$11,601.00","$11,789.00","$11,601.00","$11,764.00",$19.55B
8/6/2020,"$11,769.00","$11,840.00","$11,437.00","$11,618.00",$24.78B
8/5/2020,"$11,747.00","$11,856.00","$11,630.00","$11,780.00",$24.30B
8/4/2020,"$11,198.00","$11,736.00","$11,198.00","$11,736.00",$25.65B
8/3/2020,"$11,234.00","$11,345.00","$11,097.00","$11,193.00",$22.42B
8/2/2020,"$11,072.00","$11,376.00","$11,072.00","$11,235.00",$22.54B
8/1/2020,"$11,813.00","$11,865.00","$10,836.00","$11,072.00",$32.42B
7/31/2020,"$11,353.00","$11,836.00","$11,353.00","$11,804.00",$30.67B
7/30/2020,"$11,117.00","$11,423.00","$11,077.00","$11,367.00",$24.81B
7/29/2020,"$11,115.00","$11,147.00","$10,957.00","$11,111.00",$23.21B
7/28/2020,"$10,920.00","$11,256.00","$10,876.00","$11,094.00",$26.88B
7/27/2020,"$11,019.00","$11,219.00","$10,660.00","$10,949.00",$33.42B
7/26/2020,"$9,944.00","$11,180.00","$9,944.00","$11,012.00",$40.60B
7/25/2020,"$9,712.00","$10,051.00","$9,712.00","$9,942.00",$23.06B
7/24/2020,"$9,556.00","$9,716.00","$9,556.00","$9,713.00",$17.92B
7/23/2020,"$9,608.00","$9,608.00","$9,545.00","$9,549.00",$16.80B
7/22/2020,"$9,533.00","$9,632.00","$9,533.00","$9,609.00",$18.72B
7/21/2020,"$9,403.00","$9,530.00","$9,403.00","$9,530.00",$16.90B
7/20/2020,"$9,174.00","$9,413.00","$9,174.00","$9,393.00",$18.04B
7/19/2020,"$9,218.00","$9,218.00","$9,171.00","$9,171.00",$14.86B
7/18/2020,"$9,182.00","$9,219.00","$9,182.00","$9,219.00",$12.50B
7/17/2020,"$9,163.00","$9,191.00","$9,163.00","$9,184.00",$12.17B
7/16/2020,"$9,138.00","$9,163.00","$9,130.00","$9,155.00",$13.22B
7/15/2020,"$9,200.00","$9,200.00","$9,104.00","$9,142.00",$15.88B
7/14/2020,"$9,260.00","$9,260.00","$9,196.00","$9,196.00",$15.32B
7/13/2020,"$9,248.00","$9,252.00","$9,169.00","$9,249.00",$16.47B
7/12/2020,"$9,305.00","$9,305.00","$9,243.00","$9,243.00",$17.19B
7/11/2020,"$9,234.00","$9,322.00","$9,233.00","$9,301.00",$14.98B
7/10/2020,"$9,297.00","$9,297.00","$9,233.00","$9,244.00",$13.39B
7/9/2020,"$9,245.00","$9,293.00","$9,190.00","$9,293.00",$15.72B
7/8/2020,"$9,444.00","$9,444.00","$9,224.00","$9,249.00",$18.22B
7/7/2020,"$9,265.00","$9,452.00","$9,265.00","$9,439.00",$20.46B
7/6/2020,"$9,347.00","$9,350.00","$9,267.00","$9,269.00",$17.38B
7/5/2020,"$9,082.00","$9,356.00","$9,082.00","$9,343.00",$21.20B
7/4/2020,"$9,137.00","$9,137.00","$8,965.00","$9,082.00",$16.03B
7/3/2020,"$9,070.00","$9,162.00","$9,070.00","$9,139.00",$15.14B
7/2/2020,"$9,094.00","$9,156.00","$9,071.00","$9,071.00",$16.13B
7/1/2020,"$9,240.00","$9,240.00","$9,006.00","$9,094.00",$18.76B
6/30/2020,"$9,145.00","$9,280.00","$9,131.00","$9,237.00",$18.70B
6/29/2020,"$9,190.00","$9,199.00","$9,094.00","$9,150.00",$17.74B
6/28/2020,"$9,123.00","$9,218.00","$9,064.00","$9,187.00",$19.46B
6/27/2020,"$9,022.00","$9,176.00","$8,988.00","$9,124.00",$17.59B
6/26/2020,"$9,161.00","$9,161.00","$8,877.00","$9,014.00",$19.91B
6/25/2020,"$9,247.00","$9,282.00","$9,063.00","$9,164.00",$22.18B
6/24/2020,"$9,292.00","$9,326.00","$9,034.00","$9,250.00",$23.55B
6/23/2020,"$9,626.00","$9,626.00","$9,232.00","$9,297.00",$23.79B
6/22/2020,"$9,681.00","$9,705.00","$9,595.00","$9,624.00",$22.03B
6/21/2020,"$9,299.00","$9,729.00","$9,299.00","$9,670.00",$24.76B
6/20/2020,"$9,362.00","$9,393.00","$9,296.00","$9,303.00",$19.11B
6/19/2020,"$9,314.00","$9,387.00","$9,221.00","$9,362.00",$20.68B
